Gene	Bone Marrow	E14.5-Brain	Cerebellum	Cortex	E14.5-Heart	Heart	Intestine	Kidney	E14.5-Limb	E14.5-Liver	Liver	Lung	Olfactory	E14.5-Placenta	Spleen	Testis	Thymus
ENSMUSG00000024354	0.689545	0.4006845	0.1434879	0.05820425	0.198971	0.135762	11.462315	32.43205	0.4780785	1.34131	10.043205	2.594345	0.4545335	0.261139	0.320207	0.3408575	0.685883
ENSMUSG00000048387	0.0903216	1.176914	0.339582	0.3207435	1.483255	0.814668	0.26207	0.28329	13.79265	0.0446469	0	1.1463	0.3261575	0.03669615	0.01789285	0.8562955	0.0921784
ENSMUSG00000061353	31.18025	5.5305202	2.78273415	2.1166292	12.6630705	7.29648515	1.50574445	11.4346975	9.43726	8.10984	13.779082	5.3089265	8.13380675	9.328468	11.3053465	0.8455893	17.40700475
ENSMUSG00000023021	4.870405	13.25825	6.567395	4.96644	8.681935	3.247175	2.779175	6.165755	11.30495	2.768065	0.311167	7.19982	5.93607	12.8372	7.87233	4.24372	7.66036
ENSMUSG00000048388	0.0363473	19.4465	12.4123	36.12475	0.431525	0.14056895	0.213263	0.0076117	4.39599	0.0841349	0.0762693	0.0447809	60.157	0.04123755	0.06242735	0.198374	6.507415
ENSMUSG00000062687	0.5760245	0.967778	0.012474185	0.02881955	0.867602	0.037283045	0.1175281	0.0107691	1.1205955	1.357015	0.011088805	0.03141785	0.174443	0.277639	0.180316	0.175345	0.3893515
ENSMUSG00000024352	4.5237901	1.8334826	0.59399725	0.739032	3.7120301	0.58024375	0.55259201	1.39335	1.8993705	4.83981	0.660319	2.099135	1.592351	0.74286275	1.6772	76.41255	1.625605
ENSMUSG00000060024	0	0	0	0	0	0	0.0050128	0	0	0	0	0	0	0	0	0.1453855	0
ENSMUSG00000024353	11.18461	0.1208285	0	0.0285493	0.2105835	0.525754	7.99434	1.029192	0.08341005	0.594963	0.439579	1.856325	0.724396	0.1264287	80.4134	0.3719785	2.77963
ENSMUSG00000023026	1.403115	5.1102675	4.89942765	6.184555	4.56622	1.61104	1.447365	0.51372602	2.3250535	0.934135	0.7285445	3.531715	4.69048435	6.646165	4.775765	2.4634846	2.5967601
ENSMUSG00000023025	1.538315	5.31128	3.33445	2.510625	6.0312	1.14755852	6.489445	3.113535	4.75692	7.14974	2.6223	1.82771	2.444295	6.142215	1.6106725	1.73868005	3.889245
ENSMUSG00000024359	27.67555	36.30265	29.572	22.98255	73.80995	71.9431	36.7948	110.0752	32.32205	66.3696	83.16875	14.0846	23.3982	38.31905	25.46135	42.99125	21.8832
ENSMUSG00000059030	0	0	0	0	0	0	0.00611735	0	0	0.02634145	0	0.0158772	0	0	0	1.640295	0
